time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1518.8129716331598,9.5652652e-01,1.2707976e-02,4.8330952e-03,209774,331.91419,52.91495,6.0705737e+02,4.9318295e+00,6.4215509e+02,2.4181848e+00,5.0907458e+02,6.7633328e+00,0,,,,,331.91419,5.1426487e-03,52.91495,5.2509219e-03,-1.8577136e-02,-8.1388392e-02
1518.814360555459,9.7844505e-01,1.2721576e-02,4.8331292e-03,209775,331.90985,52.92475,6.1587665e+02,4.9371076e+00,6.4171777e+02,2.4155595e+00,5.2073987e+02,6.7705712e+00,0,,,,,331.90985,5.0680330e-03,52.92475,5.1860879e-03,-1.9064751e-02,-8.1780851e-02
1518.8157494777583,9.7043967e-01,1.2704920e-02,4.8331632e-03,209776,331.91487,52.92154,6.1337994e+02,4.9306436e+00,6.3884583e+02,2.4131267e+00,5.1647931e+02,6.7617068e+00,0,,,,,331.91487,5.0815535e-03,52.92154,5.1999865e-03,-1.9232741e-02,-8.4256478e-02
1518.8171384000577,9.5623428e-01,1.2690887e-02,4.8331972e-03,209777,331.91071,52.93940,6.0824005e+02,4.9251976e+00,6.4040900e+02,2.4128087e+00,5.0891904e+02,6.7542381e+00,0,,,,,331.91071,5.1224334e-03,52.93940,5.2214912e-03,-1.9977463e-02,-8.1673734e-02
1518.8185273228225,9.4988096e-01,1.2698207e-02,4.8332317e-03,209778,331.91763,52.92367,6.0575262e+02,4.9280381e+00,6.4202924e+02,2.4189906e+00,5.0553772e+02,6.7581339e+00,0,,,,,331.91763,5.1425085e-03,52.92367,5.2525192e-03,-1.8922947e-02,-8.0046818e-02
1518.8199162451217,9.6837127e-01,1.2730539e-02,4.8332657e-03,209779,331.91553,52.92084,6.1039374e+02,4.9405861e+00,6.4350897e+02,2.4218085e+00,5.1537848e+02,6.7753415e+00,0,,,,,331.91553,5.1314351e-03,52.92084,5.2271546e-03,-1.4728035e-02,-1.0416541e-01
1518.8213051674209,9.8642969e-01,1.2726778e-02,4.8332997e-03,209780,331.90912,52.92797,6.1948645e+02,4.9391265e+00,6.3661322e+02,2.4154537e+00,5.2498938e+02,6.7733397e+00,0,,,,,331.90912,5.0423886e-03,52.92797,5.1417975e-03,-1.9773001e-02,-6.5439321e-02
1518.82269408972,9.8500758e-01,1.2754363e-02,4.8333337e-03,209781,331.91346,52.92701,6.1903278e+02,4.9498315e+00,6.4066119e+02,2.4163156e+00,5.2423254e+02,6.7880206e+00,0,,,,,331.91346,5.0657610e-03,52.92701,5.1673572e-03,-1.7443728e-02,-8.0535486e-02
1518.8240830120187,9.7709525e-01,1.2743906e-02,4.8333677e-03,209782,331.91209,52.92491,6.1525195e+02,4.9457731e+00,6.4053015e+02,2.4202530e+00,5.2002148e+02,6.7824554e+00,0,,,,,331.91209,5.0777867e-03,52.92491,5.1911869e-03,-1.7977292e-02,-8.7611385e-02
1518.8254719343186,1.0124111e+00,1.2776437e-02,4.8334016e-03,209783,331.90728,52.92221,6.2886768e+02,4.9583988e+00,6.3840918e+02,2.4147618e+00,5.3881702e+02,6.7997689e+00,0,,,,,331.90728,4.9941735e-03,52.92221,5.0946325e-03,-2.2812964e-02,-7.7702127e-02
1518.8268608566184,9.9232316e-01,1.2737134e-02,4.8334356e-03,209784,331.90384,52.92383,6.2093109e+02,4.9431453e+00,6.3995764e+02,2.4140084e+00,5.2812598e+02,6.7788510e+00,0,,,,,331.90384,5.0225877e-03,52.92383,5.1485524e-03,-1.6003577e-02,-8.1936106e-02
1518.828249778917,9.9770451e-01,1.2737690e-02,4.8334696e-03,209785,331.90437,52.92697,6.2299023e+02,4.9433613e+00,6.3816992e+02,2.4126985e+00,5.3098999e+02,6.7791471e+00,0,,,,,331.90437,5.0078947e-03,52.92697,5.1438943e-03,-1.7052511e-02,-1.0107968e-01
1518.8296387012163,1.0221244e+00,1.2734109e-02,4.8335036e-03,209786,331.90514,52.92844,6.3251538e+02,4.9419713e+00,6.3515619e+02,2.4074676e+00,5.4398651e+02,6.7772412e+00,0,,,,,331.90514,4.9280543e-03,52.92844,5.0530429e-03,-2.2221142e-02,-6.8099797e-02
1518.8310276235154,1.0060043e+00,1.2747811e-02,4.8335376e-03,209787,331.90812,52.91471,6.2616980e+02,4.9472895e+00,6.3956006e+02,2.4139526e+00,5.3540723e+02,6.7845340e+00,0,,,,,331.90812,4.9867025e-03,52.91471,5.1081618e-03,-1.5508340e-02,-8.4625117e-02
1518.8324165458146,1.1724535e+00,1.2938111e-02,4.8335716e-03,209788,331.88948,52.93976,6.9236261e+02,5.0211420e+00,6.3998633e+02,2.4155581e+00,6.2399347e+02,6.8858137e+00,0,,,,,331.88948,4.5762844e-03,52.93976,4.6784761e-03,-1.9498844e-02,-6.8939723e-02
1518.8338054681137,2.1635015e+00,1.4026042e-02,4.8336056e-03,209789,331.84811,52.96916,1.0759938e+03,5.4433565e+00,6.4701288e+02,2.4233460e+00,1.1514408e+03,7.4648232e+00,0,,,,,331.84811,3.1705906e-03,52.96916,3.2430859e-03,-1.9899802e-02,-9.4433747e-02
1518.835194390413,2.6792538e+00,1.4563718e-02,4.8336396e-03,209790,331.83195,52.98310,1.2758867e+03,5.6520233e+00,6.5105096e+02,2.4287348e+00,1.4259302e+03,7.7509809e+00,0,,,,,331.83195,2.7807758e-03,52.98310,2.8407748e-03,-1.6491750e-02,-8.0831446e-02
1518.8365833127125,2.7039878e+00,1.4584690e-02,4.8336736e-03,209791,331.83309,52.98757,1.2862673e+03,5.6601620e+00,6.5263818e+02,2.4288735e+00,1.4390939e+03,7.7621422e+00,0,,,,,331.83309,2.7660208e-03,52.98757,2.8119364e-03,-1.9939870e-02,-7.0972733e-02
