time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1703.0477338384815,9.7345799e-01,1.6904406e-02,7.6716073e-04,342426,1930.65420,464.57252,3.9269470e+02,6.0044708e+00,1.3893783e+03,2.6400731e+00,5.8647607e+02,1.0184342e+01,0,,,,,1930.65420,6.8519018e-03,464.57252,1.0774686e-02,-7.7638198e-03,3.8376857e-02
1703.0491227266614,1.0134566e+00,1.6911643e-02,7.6716061e-04,342427,1930.66321,464.57356,4.0462952e+02,6.0070410e+00,1.3860511e+03,2.6330612e+00,6.1057391e+02,1.0188702e+01,0,,,,,1930.66321,6.6590616e-03,464.57356,1.0462762e-02,2.4555998e-02,2.9865017e-02
1703.0505116148418,9.9307209e-01,1.6883241e-02,7.6716050e-04,342428,1930.65351,464.56377,3.9861151e+02,5.9969535e+00,1.3871804e+03,2.6271424e+00,5.9829291e+02,1.0171591e+01,0,,,,,1930.65351,6.7447452e-03,464.56377,1.0632658e-02,8.7025156e-03,3.2635849e-02
1703.0519005030217,1.0191007e+00,1.6909195e-02,7.6716038e-04,342429,1930.64814,464.57409,4.0807812e+02,6.0061722e+00,1.3858224e+03,2.6311383e+00,6.1397424e+02,1.0187227e+01,0,,,,,1930.64814,6.5964856e-03,464.57409,1.0369021e-02,9.2441076e-03,3.0010724e-02
1703.0532893912016,9.9983656e-01,1.6901899e-02,7.6716027e-04,342430,1930.65170,464.59187,4.0052707e+02,6.0035810e+00,1.3883179e+03,2.6253498e+00,6.0236829e+02,1.0182832e+01,0,,,,,1930.65170,6.7204400e-03,464.59187,1.0531216e-02,5.0010923e-03,3.4763034e-02
1703.0546782793829,9.8972696e-01,1.6875101e-02,7.6716015e-04,342431,1930.65135,464.57603,3.9765366e+02,5.9940619e+00,1.3876436e+03,2.6269195e+00,5.9627759e+02,1.0166687e+01,0,,,,,1930.65135,6.7575895e-03,464.57603,1.0621885e-02,3.7565331e-03,3.3614591e-02
1703.0560671675642,9.8541427e-01,1.6889872e-02,7.6716003e-04,342432,1930.64938,464.57487,3.9648831e+02,5.9993081e+00,1.3870364e+03,2.6313787e+00,5.9367932e+02,1.0175586e+01,0,,,,,1930.64938,6.7788684e-03,464.57487,1.0662576e-02,3.9337697e-03,3.7044026e-02
1703.057456055744,9.7449088e-01,1.6886862e-02,7.6715992e-04,342433,1930.64397,464.56788,3.9214523e+02,5.9982395e+00,1.3886501e+03,2.6299012e+00,5.8709833e+02,1.0173773e+01,0,,,,,1930.64397,6.8513765e-03,464.56788,1.0789746e-02,1.0338522e-02,3.5289846e-02
1703.058844943924,9.8137540e-01,1.6896537e-02,7.6715980e-04,342434,1930.65300,464.57914,3.9488956e+02,6.0016756e+00,1.3895442e+03,2.6294503e+00,5.9124603e+02,1.0179601e+01,0,,,,,1930.65300,6.8146903e-03,464.57914,1.0696768e-02,6.0044485e-03,3.2078560e-02
1703.0602338321626,9.6320438e-01,1.6853524e-02,7.6715974e-04,342435,1930.66660,464.57959,3.8778494e+02,5.9863982e+00,1.3886080e+03,2.6226547e+00,5.8029858e+02,1.0153687e+01,0,,,,,1930.66660,6.9310963e-03,464.57959,1.0859288e-02,8.3253020e-03,3.9764971e-02
