time,flux,flux_err
1699.3699585737625,1.0183620e+00,1.3611685e-02
1699.3713474614767,1.0065615e+00,1.3607563e-02
1699.3727363491914,1.0142885e+00,1.3596318e-02
1699.3741252369066,1.0119550e+00,1.3617817e-02
1699.3755141246213,1.0186323e+00,1.3664070e-02
1699.3769030123362,1.0053331e+00,1.3608823e-02
1699.3782919000512,1.0090598e+00,1.3595945e-02
1699.3796807877654,1.0236542e+00,1.3607766e-02
1699.3810696754797,1.0128816e+00,1.3587801e-02
1699.3824585631953,1.0125577e+00,1.3596567e-02
1699.38384745091,1.0065022e+00,1.3610614e-02
1699.3852363386243,9.9552983e-01,1.3583725e-02
1699.386625226339,1.0029429e+00,1.3585504e-02
1699.3880141141124,1.0224026e+00,1.3617028e-02
1699.389403001827,1.0095328e+00,1.3602451e-02
1699.3907918895422,9.6517217e-01,1.3614499e-02
1699.392180777257,1.0031757e+00,1.3629124e-02
1699.3935696649712,9.8888391e-01,1.3605163e-02
1699.3949585526855,9.9660963e-01,1.3611024e-02
1699.3963474404002,1.0016139e+00,1.3637021e-02
1699.3977363281158,1.0129114e+00,1.3631473e-02
1699.399125215831,1.0089182e+00,1.3606175e-02
1699.4005141036034,1.0166937e+00,1.3636082e-02
1699.4019029913181,1.0032079e+00,1.3628494e-02
1699.4032918790324,1.0077089e+00,1.3618370e-02
1699.4046807667467,9.8332822e-01,1.3588590e-02
1699.4060696544623,9.9861604e-01,1.3614684e-02
1699.407458542178,9.9712539e-01,1.3618395e-02
1699.4102363176064,9.8897368e-01,1.3633105e-02
1699.4116252053793,1.0032752e+00,1.3632134e-02
1699.4130140930943,9.9454582e-01,1.3634738e-02
1699.4144029808092,9.8103511e-01,1.3657190e-02
1699.415791868524,1.0047534e+00,1.3669396e-02
1699.417180756239,9.9221331e-01,1.3613755e-02
1699.4185696439533,9.9679977e-01,1.3649627e-02
1699.4199585316676,1.0189381e+00,1.3680590e-02
1699.4213474193832,1.0140786e+00,1.3664751e-02
1699.4227363071561,1.0155070e+00,1.3680369e-02
1699.4241251948704,9.9850863e-01,1.3640014e-02
1699.425514082585,1.0043857e+00,1.3670500e-02
1699.4269029703003,1.0113376e+00,1.3668730e-02
1699.4282918580145,9.9572545e-01,1.3776712e-02
1699.4296807457292,1.0254178e+00,1.3683712e-02
1699.431069633503,9.8665965e-01,1.3638647e-02
1699.4324585212173,1.0031524e+00,1.3670459e-02
1699.4338474089316,1.0086173e+00,1.3688163e-02
1699.4352362966463,1.0028540e+00,1.3798805e-02
1699.4366251843614,1.0033597e+00,1.3694051e-02
1699.4380140720762,9.9323887e-01,1.3709945e-02
1699.4394029598493,9.9338311e-01,1.3696737e-02
1699.4407918475642,9.9273950e-01,1.3661402e-02
1699.4421807352785,1.0041080e+00,1.3684524e-02
1699.4435696229928,9.9969757e-01,1.3695388e-02
1699.4449585107084,1.0001271e+00,1.3721082e-02
1699.4463473984813,9.9897629e-01,1.3683372e-02
