#time,flux,flux_err,residuals
1.518803249176599593e+03,9.727757599999999893e-01,3.334340400574250379e-02,2.180122118481939153e-03
1.518804638098898295e+03,9.925010800000000355e-01,3.338744394387406500e-02,2.152910464013867500e-02
1.518806027021198133e+03,9.770362999999999687e-01,3.333454045713735853e-02,5.665724142421998261e-03
1.518807415943963633e+03,9.703779799999999733e-01,3.334522022075828152e-02,-1.412693620353219770e-03
1.518808804866262335e+03,9.765890200000000299e-01,3.336600055100377021e-02,4.357517532466048671e-03
1.518810193788560582e+03,9.747566600000000525e-01,3.332064759162703393e-02,2.064363361791617113e-03
1.518811582710859966e+03,9.711405600000000415e-01,3.337495320683913497e-02,-2.031730234541336694e-03
1.518812971633159805e+03,9.565265200000000467e-01,3.330507479274714272e-02,-1.714419735795118596e-02
1.518814360555458961e+03,9.784450500000000384e-01,3.334071768483171799e-02,4.258237890353098326e-03
1.518815749477758345e+03,9.704396699999999765e-01,3.329706562523167268e-02,-4.280138591579212004e-03
1.518817138400057729e+03,9.562342799999999921e-01,3.326028792636234049e-02,-1.903466090528637203e-02
1.518818527322822547e+03,9.498809599999999964e-01,3.327947218886668362e-02,-2.595248334404673049e-02
1.518819916245121703e+03,9.683712700000000062e-01,3.336420792319599177e-02,-8.041279630837533388e-03
1.518821305167420860e+03,9.864296900000000257e-01,3.335435109105406443e-02,9.424195945993592283e-03
1.518822694089720017e+03,9.850075799999999937e-01,3.342664588356531602e-02,7.396069284824776519e-03
1.518824083012018718e+03,9.770952499999999707e-01,3.339924016867352324e-02,-1.134583715761302430e-03
1.518825471934318557e+03,1.012411100000000008e+00,3.348449744237964876e-02,3.355140284189646327e-02
1.518826860856618396e+03,9.923231599999999819e-01,3.338149210505611530e-02,1.226789367011042395e-02
1.518828249778917098e+03,9.977045100000000444e-01,3.338294927035016096e-02,1.039030220927600681e-02
1.518829638701216254e+03,1.022124400000000044e+00,3.337356418236818445e-02,2.530240197027827306e-02
1.518831027623515411e+03,1.006004300000000073e+00,3.340947439614339737e-02,-5.258126415004250875e-02
1.518832416545814567e+03,1.172453500000000037e+00,3.390821280523857728e-02,-1.635954488384796235e-01
1.518833805468113724e+03,2.163501500000000188e+00,3.675946333674322275e-02,2.090766701300159625e-01
1.518835194390413108e+03,2.679253800000000130e+00,3.816860507530686619e-02,-1.208667713922550874e-01
1.518836583312712492e+03,2.703987800000000163e+00,3.822356851154198876e-02,-2.970052941968196608e-02
1.518837972235011648e+03,2.561046800000000179e+00,3.784985802963700824e-02,9.476524556450444114e-02
1.518839361157311487e+03,2.327563300000000002e+00,3.719288876689431228e-02,-9.514003303929277622e-03
1.518840750079610871e+03,2.360979100000000219e+00,3.732490112845254782e-02,6.686946255076547940e-02
1.518842139001909118e+03,2.317322499999999952e+00,3.716377953142493973e-02,6.771430223645777402e-03
1.518843527924207820e+03,2.230647100000000105e+00,3.704941040144856673e-02,-1.193476178062141957e-01
1.518844916846507658e+03,2.196438800000000136e+00,3.682450899399667549e-02,-4.326780282709642017e-02
1.518846305768807497e+03,2.171622000000000163e+00,3.679495422237625407e-02,5.529757089705469864e-02
1.518847694691106199e+03,2.102146400000000082e+00,3.658704608788586332e-02,9.012578573908745783e-02
1.518849083613405355e+03,1.959538800000000025e+00,3.624519406158235868e-02,4.164668644765222305e-02
1.518850472535704512e+03,1.878697899999999921e+00,3.597801913579781047e-02,4.196812114052427684e-02
1.518851861458003668e+03,1.761041199999999973e+00,3.563039348513677429e-02,-5.014042004998746013e-03
1.518853250380303052e+03,1.695483099999999910e+00,3.541919362473034544e-02,-1.143094548663728741e-02
1.518854639302602436e+03,1.627786399999999967e+00,3.525211756808389885e-02,-2.667259283717248602e-02
1.518856028224901593e+03,1.558909700000000065e+00,3.507304086416868777e-02,-4.628138518164859327e-02
1.518857417147200749e+03,1.517468299999999992e+00,3.485618531544470988e-02,-4.377515260708238209e-02
1.518858806069034927e+03,1.475452100000000044e+00,3.475858669035430948e-02,-4.643741221779879719e-02
1.518860194991334311e+03,1.459380399999999911e+00,3.476165826899571543e-02,-2.883719152850175091e-02
